 (Half Day),(Meio Dia)
 and year: ,e ano:
""" does not exists",""" Não existe"
%  Delivered,Entregue %
% Amount Billed,Valor faturado %
% Billed,% Faturado
% Completed,% Concluído
% Delivered,% Entregue
% Installed,% Instalado
% Received,% Recebido
% of materials billed against this Purchase Order.,% de materiais faturado contra esta Ordem de Compra.
% of materials billed against this Sales Order,% de materiais faturados contra esta Pedido de Venda
% of materials delivered against this Delivery Note,% de materiais entregues contra esta Guia de Remessa
% of materials delivered against this Sales Order,% de materiais entregues contra esta Pedido de Venda
% of materials ordered against this Material Request,% De materiais encomendados contra este Pedido de Materiais
% of materials received against this Purchase Order,% de materiais recebidos contra esta Ordem de Compra
%(conversion_rate_label)s is mandatory. Maybe Currency Exchange record is not created for %(from_currency)s to %(to_currency)s,% ( conversion_rate_label ) s é obrigatória. Talvez recorde Câmbios não é criado para % ( from_currency ) s para% ( to_currency ) s
'Actual Start Date' can not be greater than 'Actual End Date',' Real data de início ' não pode ser maior que ' Actual Data Final '
'Based On' and 'Group By' can not be same,'Baseado ' e ' Grupo por ' não pode ser o mesmo
'Days Since Last Order' must be greater than or equal to zero,'Dias desde o último Pedido' deve ser maior ou igual a zero
'Entries' cannot be empty,'Lançamentos' não pode estar vazio
'Expected Start Date' can not be greater than 'Expected End Date','Data de Início Esperado' não pode ser maior que 'Data Final Esperado'
'From Date' is required,'From Date' é necessária
'From Date' must be after 'To Date','De Data ' deve ser depois de ' To Date '
'Has Serial No' can not be 'Yes' for non-stock item,'Tem Nº de Série' não pode ser 'Sim' para itens que não são de estoque
'Notification Email Addresses' not specified for recurring invoice,'Endereços de E-Mail de Notificação' não especificados para fatura recorrente
'Profit and Loss' type account {0} not allowed in Opening Entry,Tipo de conta 'Lucros e Perdas' {0} não é permitido no Lançamento de Abertura
'To Case No.' cannot be less than 'From Case No.','Para o Caso Nº' não pode ser inferior a 'Do Caso Nº'
'To Date' is required,'Para a Data' é necessária
